Month,District_State,MaxTemperature
2004-11,"BHAVNAGAR, GUJARAT",36.22000
2004-11,"RAJKOT, GUJARAT",36.04500
2004-11,"AMRELI, GUJARAT",36.02400
2004-11,"BHANDARA, MAHARASHTRA",35.89500
2004-11,"NANDURBAR, MAHARASHTRA",35.82150
2004-11,"MEHSANA, GUJARAT",35.79300
2007-07,"FEROZEPORE, PUNJAB",48.57800
2007-07,"FARIDKOT, PUNJAB",48.15600
2007-07,"AMRITSAR, PUNJAB",46.98700
2007-07,"BHATINDA, PUNJAB",46.72300
2007-07,"CHANDIGARH, CHANDIGARH",46.59000
2007-07,"BALRAMPUR, UTTAR PRADESH",46.13300
2007-07,"GANGANAGAR, RAJASTHAN",46.05400
2007-07,"PATIALA, PUNJAB",45.93550
2007-07,"AMBALA, HARYANA",45.77800
2007-07,"JULLUNDAR, PUNJAB",45.62800
2012-04,"JANJGIR, CHATISGARH",50.82600
2012-04,"KORBA, CHATISGARH",50.14800
2012-04,"KANKER, CHATISGARH",50.02550
2012-04,"GONDIA, MAHARASHTRA",49.45600
2012-04,"SIMDEGA, JHARKHAND",49.27500
2012-04,"RAJNANDGAON, CHATISGARH",49.12100
2012-04,"SUNDARGARH, ORISSA",48.74000
2012-04,"DHAMTARI, CHATISGARH",48.66000
2012-04,"BOLANGIR, ORISSA",48.53300
2012-04,"SAMBALPUR, ORISSA",48.49700
2003-12,"NORTH GOA, GOA",37.43400
2003-12,"SURAT, GUJARAT",36.52500
2003-12,"DANGS, GUJARAT",35.77400
2003-12,"NANDURBAR, MAHARASHTRA",34.60200
2003-12,"BARMER, RAJASTHAN",34.52800
2003-12,"JHABUA, MADHAYA PRADESH",34.41000
2003-12,"AMRELI, GUJARAT",34.30500
2003-12,"RAJKOT, GUJARAT",34.30500
2003-12,"BARODA, GUJARAT",34.29000
2003-12,"BHAVNAGAR, GUJARAT",34.21750
2010-01,"PALAKKAD, KERALA",37.87100
2010-01,"NORTH GOA, GOA",36.56600
2010-01,"SURAT, GUJARAT",35.34100
2010-01,"MALKANGIRI, ORISSA",35.05200
2010-01,"ERNAKULAM, KERALA",34.75050
2010-01,"THRISSUR, KERALA",34.70700
2010-01,"SHIMOGA, KARNATAKA",34.59550
2010-01,"DANTEWARA, CHATISGARH",34.42000
2010-01,"KOLHAPUR, MAHARASHTRA",34.41150
2010-01,"KODAGU, KARNATAKA",34.35150
2010-09,"GANGANAGAR, RAJASTHAN",43.27750
2010-09,"FEROZEPORE, PUNJAB",42.57200
2010-09,"FARIDKOT, PUNJAB",42.51900
2010-09,"HANUMANGARH, RAJASTHAN",41.56900
2010-09,"SIRSA, HARYANA",41.56900
2010-09,"BIKANER, RAJASTHAN",41.31700
2010-09,"CUDDALORE, TAMILNADU",40.37300
2010-09,"BARMER, RAJASTHAN",40.14000
2010-09,"SIVAGANGA, TAMILNADU",39.89400
2010-09,"RAMANATHAPURA, TAMILNADU",39.89400
2012-05,"JHARSUGUDA, ORISSA",53.82400
2012-05,"SAMBALPUR, ORISSA",53.44500
2012-05,"DEOGARH, ORISSA",53.09200
2012-05,"SUNDARGARH, ORISSA",52.49400
