Month,District_State,MinimumRelativeHumidity
2000-07,"JULLUNDAR, PUNJAB",0.22610
2000-07,"SANGRUR, PUNJAB",0.23139
2001-10,"MANDI, HIMACHAL PRADESH",0.09635
2001-10,"BIKANER, RAJASTHAN",0.10732
2001-10,"JAISALMER, RAJASTHAN",0.10754
2001-10,"KAPURTHALA, PUNJAB",0.10876
2001-10,"AMRITSAR, PUNJAB",0.11271
2001-10,"UDHAMPUR, JAMMU AND KASHMIR",0.11343
2001-10,"CHURU, RAJASTHAN",0.11367
2001-10,"GANGANAGAR, RAJASTHAN",0.11506
2001-10,"BHIWANI, HARYANA",0.11594
2001-10,"JULLUNDAR, PUNJAB",0.11654
2004-11,"JODHPUR, RAJASTHAN",0.11440
2004-11,"JAISALMER, RAJASTHAN",0.11627
2004-11,"GANGANAGAR, RAJASTHAN",0.11705
2004-11,"BARMER, RAJASTHAN",0.11800
2004-11,"UDHAMPUR, JAMMU AND KASHMIR",0.11817
2004-11,"PALI, RAJASTHAN",0.12504
2004-11,"BARAMULLA, JAMMU AND KASHMIR",0.12934
2004-11,"BIKANER, RAJASTHAN",0.12967
2004-11,"JALORE, RAJASTHAN",0.13829
2004-11,"KUPWARA, JAMMU AND KASHMIR",0.13874
2007-07,"FARIDKOT, PUNJAB",0.22473
2007-07,"GANGANAGAR, RAJASTHAN",0.23447
2007-07,"SANGRUR, PUNJAB",0.23510
2007-07,"AMRITSAR, PUNJAB",0.24005
2007-07,"JAMMU, JAMMU AND KASHMIR",0.25395
2007-07,"KAITHAL, HARYANA",0.25623
2007-07,"KURUKSHTRA, HARYANA",0.26049
2007-07,"JULLUNDAR, PUNJAB",0.27140
2007-07,"CHANDIGARH, CHANDIGARH",0.27362
2007-07,"PANIPAT, HARYANA",0.27811
2012-04,"S.RAVIDAS NAGAR, UTTAR PRADESH",0.08795
2012-04,"ALLAHABAD, UTTAR PRADESH",0.08862
2012-04,"VARANASI, UTTAR PRADESH",0.09030
2012-04,"TONK, RAJASTHAN",0.09227
2012-04,"SAWAI MADHOPUR, RAJASTHAN",0.09256
2012-04,"PRATAPGARH, UTTAR PRADESH",0.09452
2012-04,"SHIVPURI, MADHAYA PRADESH",0.09551
2012-04,"BARAN, RAJASTHAN",0.09591
2012-04,"JAISALMER, RAJASTHAN",0.09717
2012-04,"JHANSI, UTTAR PRADESH",0.09825
2003-12,"DEHRA DUN, UTTARAKHAND",0.11559
2003-12,"GARWAL PAURI, UTTARAKHAND",0.13754
